+----+-----+---+-------+-------------+--------------+-------------------+---------+-------------------+----------------+--------------+---------------+-------------+-------------+-------------------+-------------+
|YEAR|MONTH|DAY|AIRLINE|FLIGHT_NUMBER|ORIGIN_AIRPORT|DESTINATION_AIRPORT|CANCELLED|CANCELLATION_REASON|AIR_SYSTEM_DELAY|SECURITY_DELAY|DEPARTURE_DELAY|ARRIVAL_DELAY|AIRLINE_DELAY|LATE_AIRCRAFT_DELAY|WEATHER_DELAY|
+----+-----+---+-------+-------------+--------------+-------------------+---------+-------------------+----------------+--------------+---------------+-------------+-------------+-------------------+-------------+
|2015|7    |1  |MQ     |3029         |DFW           |CID                |0        |null               |null            |null          |16             |11           |null         |null               |null         |
|2015|7    |1  |MQ     |3283         |DFW           |MLI                |0        |null               |0               |0             |32             |26           |26           |0                  |0            |
|2015|7    |1  |DL     |884          |TPA           |LGA                |0        |null               |0               |0             |70             |55           |6            |49                 |0            |
|2015|7    |1  |B6     |265          |SMF           |LGB                |0        |null               |null            |null          |2              |7            |null         |null               |null         |
|2015|7    |1  |B6     |249          |DCA           |TPA                |0        |null               |null            |null          |17             |9            |null         |null               |null         |
|2015|7    |1  |AS     |603          |LAS           |SEA                |0        |null               |null            |null          |0              |1            |null         |null               |null         |
|2015|7    |1  |AA     |1191         |DFW           |BNA                |0        |null               |null            |null          |3              |10           |null         |null               |null         |
|2015|7    |1  |NK     |561          |DEN           |LAS                |0        |null               |null            |null          |-6             |-15          |null         |null               |null         |
|2015|7    |1  |HA     |328          |HNL           |OGG                |0        |null               |null            |null          |10             |11           |null         |null               |null         |
|2015|7    |1  |MQ     |3099         |BUF           |ORD                |0        |null               |null            |null          |-7             |11           |null         |null               |null         |
|2015|7    |1  |MQ     |3045         |ORD           |GRR                |0        |null               |null            |null          |2              |-16          |null         |null               |null         |
|2015|7    |1  |OO     |6305         |AUS           |DEN                |0        |null               |null            |null          |-6             |-17          |null         |null               |null         |
|2015|7    |1  |HA     |144          |LIH           |HNL                |0        |null               |null            |null          |-2             |7            |null         |null               |null         |
|2015|7    |1  |EV     |4999         |MOB           |ATL                |0        |null               |0               |0             |99             |98           |0            |98                 |0            |
|2015|7    |1  |AA     |466          |CLT           |DEN                |0        |null               |null            |null          |8              |-9           |null         |null               |null         |
|2015|7    |1  |AA     |2031         |MSP           |PHL                |0        |null               |null            |null          |14             |-9           |null         |null               |null         |
|2015|7    |1  |AA     |1992         |FLL           |DCA                |0        |null               |null            |null          |-3             |-26          |null         |null               |null         |
|2015|7    |1  |AA     |1961         |CLT           |FLL                |0        |null               |null            |null          |-5             |-11          |null         |null               |null         |
|2015|7    |1  |AA     |195          |MCO           |MIA                |0        |null               |null            |null          |-1             |-11          |null         |null               |null         |
|2015|7    |1  |AA     |833          |CLT           |STT                |0        |null               |null            |null          |-5             |-8           |null         |null               |null         |
|2015|7    |1  |AA     |756          |BUF           |CLT                |0        |null               |0               |0             |23             |15           |0            |15                 |0            |
|2015|7    |1  |OO     |6423         |IAH           |PHX                |0        |null               |2               |0             |74             |76           |0            |0                  |74           |
|2015|7    |1  |UA     |1958         |IAH           |ORD                |0        |null               |0               |0             |137            |136          |0            |0                  |136          |
|2015|7    |1  |UA     |1271         |FLL           |IAH                |1        |B                  |null            |null          |null           |null         |null         |null               |null         |
|2015|7    |1  |AA     |306          |IND           |DFW                |0        |null               |null            |null          |-12            |-27          |null         |null               |null         |
|2015|7    |1  |OO     |5551         |IAH           |MTJ                |0        |null               |8               |0             |101            |109          |0            |34                 |67           |
|2015|7    |1  |EV     |5808         |LFT           |IAH                |0        |null               |0               |0             |148            |146          |146          |0                  |0            |
|2015|7    |1  |UA     |195          |LAS           |IAH                |0        |null               |10              |0             |37             |42           |0            |32                 |0            |
|2015|7    |1  |DL     |1192         |MYR           |ATL                |0        |null               |null            |null          |0              |-10          |null         |null               |null         |
|2015|7    |1  |AA     |1402         |SEA           |DFW                |0        |null               |null            |null          |0              |-3           |null         |null               |null         |
|2015|7    |1  |AA     |149          |ELP           |DFW                |0        |null               |null            |null          |-6             |-13          |null         |null               |null         |
|2015|7    |1  |AA     |752          |CLT           |SJU                |0        |null               |null            |null          |6              |8            |null         |null               |null         |
|2015|7    |1  |OO     |4579         |SBN           |MSP                |0        |null               |null            |null          |5              |2            |null         |null               |null         |
|2015|7    |1  |OO     |2833         |CHO           |ORD                |0        |null               |null            |null          |-4             |-13          |null         |null               |null         |
|2015|7    |1  |MQ     |3422         |ORD           |IND                |0        |null               |null            |null          |-4             |-19          |null         |null               |null         |
|2015|7    |1  |AA     |1831         |CLT           |MIA                |0        |null               |null            |null          |3              |-18          |null         |null               |null         |
|2015|7    |1  |AA     |1846         |DCA           |TPA                |0        |null               |null            |null          |-8             |-16          |null         |null               |null         |
|2015|7    |1  |AA     |2238         |DFW           |CLE                |0        |null               |0               |0             |94             |80           |80           |0                  |0            |
|2015|7    |1  |B6     |1210         |JAX           |BOS                |0        |null               |0               |0             |78             |73           |8            |65                 |0            |
|2015|7    |1  |DL     |1379         |BHM           |ATL                |0        |null               |null            |null          |-1             |-28          |null         |null               |null         |
|2015|7    |1  |DL     |1733         |ECP           |ATL                |0        |null               |null            |null          |-3             |-12          |null         |null               |null         |
|2015|7    |1  |WN     |4755         |PHX           |SMF                |0        |null               |0               |0             |20             |15           |4            |11                 |0            |
|2015|7    |1  |VX     |733          |DCA           |DAL                |0        |null               |0               |0             |-6             |20           |20           |0                  |0            |
|2015|7    |1  |UA     |1235         |SAT           |EWR                |0        |null               |5               |0             |10             |15           |10           |0                  |0            |
|2015|7    |1  |UA     |245          |DEN           |SJC                |0        |null               |null            |null          |15             |0            |null         |null               |null         |
|2015|7    |1  |DL     |746          |BOI           |SLC                |0        |null               |null            |null          |-3             |-9           |null         |null               |null         |
